Station Category;Station Type;ID Hash;WMO ID;Alternative IDs;Name;Location Lat,Lon;Elevation;Start Date;End Date;Horizontal Distance;Vertical Distance;Effective Distance
SYNOP;SYNO;22591128;167600;;Kasteli;35.1833,25.3167;360m;2017-01-01T00:00:00Z;2024-06-14T06:00:00Z;-999;-999;-999
METAR;META;84742324;172910;LTFE;Milas Bodrum International Airport;37.2506,27.6643;6m;2016-12-31T23:50:00Z;2024-06-14T07:20:00Z;-999;-999;-999
SYNOP;SYNO;107720285;135800;;Pretor;40.9797,21.065;912m;2017-01-01T00:00:00Z;2024-06-14T06:00:00Z;-999;-999;-999
SYNOP;SYNO;120835501;166820;LGAD;Andravida Air Base;37.9207,21.2926;17m;2016-12-31T23:50:00Z;2024-06-14T07:20:00Z;-999;-999;-999
METAR;AUTO;129361762;;EQYG;SOUDA BAY(NAS);35.53,24.15;142m;2024-04-18T10:57:00Z;2024-06-14T06:57:00Z;-999;-999;-999
SYNOP;SYNA;134674361;167380;;Milos;36.7167,24.45;182m;2017-01-01T03:00:00Z;2024-06-14T06:00:00Z;-999;-999;-999
SYNOP;SYNO;143877274;135730;;Debar;41.5167,20.5333;675m;2022-09-13T12:00:00Z;2022-09-13T12:00:00Z;-999;-999;-999
METAR;META;294260775;167441;LGSR;Santorini Airport;36.3992,25.4793;39m;2016-12-31T23:50:00Z;2024-06-14T07:20:00Z;-999;-999;-999
SYNOP;SYNA;419512565;135760;;Mavrovo;41.7,20.75;1240m;2017-01-01T06:00:00Z;2024-06-14T07:00:00Z;-999;-999;-999
METAR;META;429818888;167420;LGKO;Kos Airport;36.7933,27.0917;126m;2016-12-31T23:50:00Z;2024-06-14T07:20:00Z;-999;-999;-999
SYNOP;SYNO;433149241;135900;;Gjuriste/PGC;41.9,21.85;854m;2017-01-01T00:00:00Z;2024-06-13T18:00:00Z;-999;-999;-999
SYNOP;SYNO;479847221;171840;LTBT;Akhisar Airport;38.8089,27.8339;80m;2017-01-01T00:00:00Z;2024-06-14T07:00:00Z;-999;-999;-999
METAR;META;480127419;167540;LGIR;Heraklion International Nikos Kazantzakis Airport;35.3397,25.1803;35m;2016-12-31T23:50:00Z;2024-06-14T06:50:00Z;-999;-999;-999
SYNOP;SYNO;489525674;157300;;Kurdjali;41.65,25.3667;330m;2017-01-01T00:00:00Z;2024-06-14T06:00:00Z;-999;-999;-999
SYNOP;SYNO;535563898;172200;;Izmir/Guzelyali;38.4333,27.1667;25m;2017-01-01T00:00:00Z;2024-06-14T07:00:00Z;-999;-999;-999
SYNOP;SYNA;554577379;166750;;Lamia;38.8766,22.436;12.46m;2017-01-01T03:00:00Z;2024-06-14T06:00:00Z;-999;-999;-999
METAR;META;579883671;166870;LGRX;Araxos Airport;38.1511,21.4256;14m;2016-12-31T23:50:00Z;2024-06-14T07:20:00Z;-999;-999;-999
